type	time	latitude	longitude	altitude (m)	temperature	name	desc
T	2016-02-11 01:05:15	47.718064000	-122.247505000	140.8	20	Motionless drifter	
T	2016-02-11 01:05:16	47.718062000	-122.247501000	141.0	20		
T	2016-02-11 01:05:17	47.718065000	-122.247510000	140.8	20		
T	2016-02-11 01:05:18	47.718063000	-122.247515000	140.8	20		
T	2016-02-11 01:05:19	47.718058000	-122.247517000	140.8	20		
T	2016-02-11 01:05:20	47.718053000	-122.247514000	140.8	20		
T	2016-02-11 01:05:21	47.718049000	-122.247513000	140.8	20		
T	2016-02-11 01:05:22	47.718047000	-122.247513000	140.8	20		
T	2016-02-11 01:05:23	47.718044000	-122.247519000	140.6	20		
T	2016-02-11 01:05:24	47.718041000	-122.247522000	140.6	20		
T	2016-02-11 01:05:25	47.718047000	-122.247523000	140.8	20		
T	2016-02-11 01:05:26	47.718053000	-122.247525000	140.8	20		
T	2016-02-11 01:05:27	47.718052000	-122.247531000	140.8	20		
T	2016-02-11 01:05:28	47.718056000	-122.247532000	140.6	20		
T	2016-02-11 01:05:29	47.718056000	-122.247527000	140.8	20		
T	2016-02-11 01:05:30	47.718057000	-122.247524000	140.8	20		
T	2016-02-11 01:05:31	47.718054000	-122.247523000	140.8	20		
T	2016-02-11 01:05:32	47.718049000	-122.247519000	140.8	20		
T	2016-02-11 01:05:33	47.718045000	-122.247513000	140.8	20		
T	2016-02-11 01:05:34	47.718041000	-122.247508000	140.8	20		
T	2016-02-11 01:05:35	47.718042000	-122.247504000	140.8	20		
T	2016-02-11 01:05:36	47.718040000	-122.247502000	140.6	20		
T	2016-02-11 01:05:37	47.718040000	-122.247495000	140.8	20		
T	2016-02-11 01:05:38	47.718038000	-122.247490000	140.8	20		
T	2016-02-11 01:05:39	47.718037000	-122.247487000	140.8	20		
T	2016-02-11 01:05:40	47.718038000	-122.247481000	140.8	20		
T	2016-02-11 01:05:41	47.718039000	-122.247477000	140.8	20		
T	2016-02-11 01:05:42	47.718041000	-122.247469000	140.8	20		
T	2016-02-11 01:05:43	47.718044000	-122.247462000	140.8	20		
T	2016-02-11 01:05:44	47.718043000	-122.247457000	140.8	20		
T	2016-02-11 01:05:45	47.718043000	-122.247450000	140.8	20		
T	2016-02-11 01:05:46	47.718042000	-122.247444000	140.8	20		
T	2016-02-11 01:05:47	47.718042000	-122.247439000	140.8	20		
T	2016-02-11 01:05:48	47.718042000	-122.247432000	140.8	20		
T	2016-02-11 01:05:49	47.718040000	-122.247428000	140.8	20		
T	2016-02-11 01:05:50	47.718040000	-122.247422000	140.8	20		
T	2016-02-11 01:05:51	47.718015000	-122.247402000	141.0	20		
T	2016-02-11 01:05:52	47.718008000	-122.247390000	141.0	20		
T	2016-02-11 01:05:53	47.718008000	-122.247385000	141.0	20		
T	2016-02-11 01:05:54	47.718007000	-122.247380000	141.0	20		
T	2016-02-11 01:05:55	47.718002000	-122.247375000	141.0	20		
T	2016-02-11 01:05:56	47.718003000	-122.247370000	141.0	20		
T	2016-02-11 01:05:57	47.717998000	-122.247367000	141.0	20		
T	2016-02-11 01:05:58	47.718000000	-122.247356000	141.0	20		
T	2016-02-11 01:05:59	47.717999000	-122.247347000	141.0	20		
T	2016-02-11 01:06:00	47.718003000	-122.247339000	141.0	20		
T	2016-02-11 01:06:01	47.718000000	-122.247337000	141.0	20		
T	2016-02-11 01:06:02	47.717997000	-122.247336000	141.0	20		
T	2016-02-11 01:06:03	47.717993000	-122.247334000	140.8	20		
T	2016-02-11 01:06:04	47.717990000	-122.247329000	140.8	20		
T	2016-02-11 01:06:05	47.717988000	-122.247324000	140.8	20		
T	2016-02-11 01:06:06	47.717986000	-122.247317000	140.8	20		
T	2016-02-11 01:06:07	47.717987000	-122.247309000	140.8	20		
T	2016-02-11 01:06:08	47.717989000	-122.247305000	140.8	20		
T	2016-02-11 01:06:09	47.717992000	-122.247303000	140.6	20		
T	2016-02-11 01:06:10	47.717996000	-122.247302000	140.6	20		
T	2016-02-11 01:06:11	47.717999000	-122.247300000	140.6	20		
T	2016-02-11 01:06:12	47.718003000	-122.247298000	140.8	20		
T	2016-02-11 01:06:13	47.718009000	-122.247298000	140.8	20		
T	2016-02-11 01:06:14	47.718016000	-122.247294000	140.8	20		
T	2016-02-11 01:06:15	47.718021000	-122.247289000	140.8	20		
T	2016-02-11 01:06:16	47.718028000	-122.247283000	140.8	20		
T	2016-02-11 01:06:17	47.718027000	-122.247279000	140.8	20		
T	2016-02-11 01:06:18	47.718024000	-122.247270000	140.8	20		
T	2016-02-11 01:06:19	47.718025000	-122.247267000	140.8	20		
